id,ano,populacao masculina,populacao feminina,densidade
708,1950,1079773,117434,86.8637
708,1951,1104544,1198705,88.7571
708,1952,112881,1222726,90.6179
708,1953,1152736,1246363,92.4508
708,1954,1176706,1270051,94.2874
708,1955,1201044,129415,96.1539
708,1956,1225688,131857,98.0446
708,1957,125062,134322,99.9553
708,1958,1275415,1367738,101.8556
107,130,133,131313,13313
